Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BAA,BANRO CORPORATION,0.1275,$38.57M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,"Bar Harbor Bankshares, Inc.",47.59,$488.17M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",2.1,$17.38M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,14.46,$125.36M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BPMX,BioPharmX Corporation,0.525,$35.55M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",3.59,$399.22M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BTX.WS,"BioTime, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
BGI,Birks Group Inc.,1.586,$28.49M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
BZM,BlackRock Maryland Municipal Bond Trust,14.0292,$29.17M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bzm
MHE,BlackRock Massachusetts Tax-Exempt Trust,13.55,$32.08M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mhe
BLE,BlackRock Municipal Income Trust II,14.45,$339.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,14.85,$34.55M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,14.21,$71.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BHV,BlackRock Virginia Municipal Bond Trust,15.321,$24.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",0.671,$5.43M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",12,$290.02M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",24.7975,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^d
BVX,Bovie Medical Corporation,2.69,$78.01M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
BTI,British American Tobacco p.l.c.,64.2,$119.69B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
CJ,"C&J Energy Services, Inc.",36.83,$2.07B,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cj
CEI,"Camber Energy, Inc.",0.6091,$14.48M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.97,$27.29M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",1.21,$194.77M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
CAW,"CCA Industries, Inc.",3.25,$22.77M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
CVM,Cel-Sci Corporation,0.09,$17.19M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
CVM.WS,Cel-Sci Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws
CEF,Central Fund of Canada Limited,12.59,$3.17B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
CET,Central Securities Corporation,23.67,$588.95M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,6,$54M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
CCF,Chase Corporation,97.9,$914.83M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
CQH,"Cheniere Energy Partners LP Holdings, LLC",24.25,$5.62B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
CQP,"Cheniere Energy Partners, LP",30.81,$10.41B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",45.63,$10.85B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,41.7499,$40.34M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.25,$10.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",11.65,$22.63M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
GLV,Clough Global Dividend and Income Fund,13,$135.1M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,12.24,$216.08M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,10.08,$519.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glo
MOC,Command Security Corporation,2.6,$25.61M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,13.2,$163.93M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.2453,$45.26M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CTO,Consolidated-Tomoka Land Co.,52.85,$302.22M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,5.92,$149.55M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,26.85,$44.87M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,16.49,$128.51M,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",1.41,$167.83M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc,1.8,$72.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",15.95,$208.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",16.01,$459.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",6.65,$58.2M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.3,$172.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.67,$266.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,8.5,$618.34M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crhm
CRVP,"Crystal Rock Holdings, Inc.",0.77,$16.45M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
DXR,Daxor Corporation,6.93,$26.51M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.57,$70.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.77,$57.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",14.36,$165.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",17.28,$131.47M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.67,$374.57M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",1.5101,$40.58M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse
DPW,Digital Power Corporation,0.83,$6.51M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw
DSS,"Document Security Systems, Inc.",1.12,$14.87M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss
DMF,"Dreyfus Municipal Income, Inc.",8.65,$179.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dmf
GRF,"Eagle Capital Growth Fund, Inc.",7.2219,$23.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
ESTE,"Earthstone Energy, Inc.",12.87,$286.86M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
EVM,Eaton Vance California Municipal Bond Fund,11.21,$239.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,11.549,$44.88M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,12.23,$88.72M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,14.01,$1.63B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.34,$23.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.21,$36.16M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.09,$19.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,13.0892,$26.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,12.2,$831.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,12.05,$120.66M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.3,$31.72M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,11.74,$53.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,12.12,$189.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,11.66,$29.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,12.6,$68.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,12.55,$31.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,13.39,$38.26M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.4301,$36.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,11.91,$30.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",4.91,$40.41M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,8.14,$86.93M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,8.53,$110.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ecf
EMAN,eMagin Corporation,2.45,$77.48M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,1.25,$33.83M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
UUUU,Energy Fuels Inc,2.21,$147.27M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uuuu.ws
ENRJ,"EnerJex Resources, Inc.",0.3599,$3.03M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENSV,ENSERVCO Corporation,0.39,$19.92M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
ESNC,"EnSync, Inc.",0.531,$25.49M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc
EGI,Entree Gold Inc,0.5161,$88.55M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",19.6,$203.23M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERN,Erin Energy Corp.,2.3,$489.18M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern
ESP,Espey Mfg. & Electronics Corp.,23,$54.54M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EMX,Eurasian Minerals Inc.,0.9901,$73.43M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emx
EVBN,"Evans Bancorp, Inc.",38.3,$181.92M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",7.95,$262.85M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
XRA,Exeter Resource Corporation,1.21,$107.28M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
FPP,FieldPoint Petroleum Corporation,0.41,$4.01M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FPP.WS,FieldPoint Petroleum Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp.ws
FEN,First Trust Energy Income and Growth Fund,26.96,$522.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",25,$46.47M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.52,$17.41M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,11.94,$319.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,11.97,$1.28B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,6.4,$44.86M,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",5.5,$657.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",23.1108,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
EGAS,Gas Natural Inc.,12.7,$133.6M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas
GST,Gastar Exploration Inc.,1.44,$225.67M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,21.24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,23.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,GEE Group Inc.,4.85,$45.49M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.53,$48.2M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GIG,"GigPeak, Inc.",3.07,$206.98M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig
GSB,"GlobalSCAPE, Inc.",3.71,$79.83M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",1.47,$1.64B,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",0.294,$10.72M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,4.49,$255.21M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,2.63,$585.38M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.6251,$55.76M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",0.8676,$318.17M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),6.05,$153.98M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
GRC,Gorman-Rupp Company (The),32.65,$851.94M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/grc
GTE,Gran Tierra Energy Inc.,2.51,$980.93M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,1.66,$277.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",13.15,$2.18B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GVP,"GSE Systems, Inc.",3.85,$71.93M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp
HCHC,"HC2 Holdings, Inc.",5.84,$244.93M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/hchc
HEB,"Hemispherx BioPharma, Inc.",0.57,$13.74M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb
HLM^,Hillman Group Capital Trust,33.6504,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",11,$11.03M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hmg
HH,"Hooper Holmes, Inc.",0.85,$8.59M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hh
HUSA,Houston American Energy Corporation,0.31,$15.9M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.445,$39.65M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),153.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibo
IEC,IEC Electronics Corp.,3.47,$35.66M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec
IMUC,"ImmunoCellular Therapeutics, Ltd.",2.58,$8.93M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imuc
IMUC.WS,"ImmunoCellular Therapeutics, Ltd.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/imuc.ws
IMH,"Impac Mortgage Holdings, Inc.",12.85,$205.81M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/imh
IMO,Imperial Oil Limited,30.92,$26.21B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo
IOT,"Income Opportunity Realty Investors, Inc.",9.34,$38.93M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iot
IRT,"Independence Realty Trust, Inc.",9.32,$643.42M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irt
IGC,India Globalization Capital Inc.,0.4439,$12.25M,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/igc
INFU,"InfuSystems Holdings, Inc.",2.25,$51.01M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/infu
IHT,InnSuites Hospitality Trust,2.02,$19.55M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iht
NSPR,"InspireMD, Inc.",0.96,$1.41M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nspr
NSPR.WS,"InspireMD, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nspr.ws
IFMI,"Institutional Financial Markets, Inc.",1.26,$15.23M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ifmi
IDN,"Intellicheck Mobilisa, Inc.",2.46,$25.99M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/idn
INS,Intelligent Systems Corporation,4.7,$41.04M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ins
THM,International Tower Hill Mines Ltd,0.5,$81.09M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/thm
INTT,inTest Corporation,6.4,$66.41M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/intt
INUV,"Inuvo, Inc",1.36,$38.68M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/inuv
